organization,repository_name,clone_url,number_stars,number_commits,number_contributors,main_language,main_language_%_code,is_fork,created_year_date,pushed_date
kde, kturtle, https://github.com/KDE/kturtle.git,15,1165,61, C++,80.7, false,2003-12-31,2022-05-20
kde, vakzination, https://github.com/KDE/vakzination.git,4,140,6, C++,81.7, false,2021-07-11,2022-05-20
kde, plasma-settings, https://github.com/KDE/plasma-settings.git,15,1042,28, C++,64.9, false,2011-12-30,2022-05-20
kde, kweather, https://github.com/KDE/kweather.git,8,707,13, QML,67.2, false,2020-12-31,2022-05-20
kde, kclock, https://github.com/KDE/kclock.git,12,781,17, C++,49.1, false,2018-11-27,2022-05-20
kde, calindori, https://github.com/KDE/calindori.git,3,637,11, C++,50, false,2018-12-23,2022-05-20
kde, angelfish, https://github.com/KDE/angelfish.git,1,739,16, QML,53.1, false,2011-12-30,2020-11-11
kde, rsibreak, https://github.com/KDE/rsibreak.git,28,1011,32, C++,97.6, false,2005-12-26,2022-05-20
kde, plasma-dialer, https://github.com/KDE/plasma-dialer.git,6,504,18, C++,67.7, false,2015-09-11,2022-05-19
kde, kpipewire, https://github.com/KDE/kpipewire.git,0,50,2, C++,89.9, false,2020-11-26,2022-05-19
kde, kwayland, https://github.com/KDE/kwayland.git,42,1160,51, C++,95, false,2014-12-15,2022-05-19
kde, kwayland-integration, https://github.com/KDE/kwayland-integration.git,9,206,21, C++,94.1, false,2015-11-19,2022-05-19
kde, kdewebkit, https://github.com/KDE/kdewebkit.git,4,301,23, C++,95.3, false,2013-12-28,2022-05-19
kde, kinit, https://github.com/KDE/kinit.git,10,436,51, C++,78.3, false,2013-12-29,2022-05-19
kde, kemoticons, https://github.com/KDE/kemoticons.git,5,413,31, C++,88.2, false,2013-12-20,2022-05-19
kde, kguiaddons, https://github.com/KDE/kguiaddons.git,15,469,43, C++,93.9, false,2013-12-30,2022-05-19
kde, knotifications, https://github.com/KDE/knotifications.git,15,737,69, C++,87, false,2013-12-29,2022-05-19
kde, filelight, https://github.com/KDE/filelight.git,73,1111,61, C++,84, false,2003-11-04,2022-05-18
kde, kdbusaddons, https://github.com/KDE/kdbusaddons.git,7,414,42, C++,86, false,2013-12-31,2022-05-19
kde, karchive, https://github.com/KDE/karchive.git,31,539,47, C++,96.8, false,2013-12-28,2022-05-14
kde, libkexiv2, https://github.com/KDE/libkexiv2.git,5,823,33, C++,96.9, false,2007-12-30,2022-05-19
