organization,repository_name,clone_url,number_stars,number_commits,number_contributors,main_language,main_language_%_code,is_fork,created_year_date,pushed_date,cloning_error
kde, kde-dev-utils,https://github.com/KDE/kde-dev-utils.git,4,583,41, C++,84.7, false,2000-09-20,2022-05-15,FALSE
kde, kfourinline,https://github.com/KDE/kfourinline.git,4,1024,51, C++,98.4, false,2000-12-12,2022-05-15,FALSE
kde, kdelibs4support,https://github.com/KDE/kdelibs4support.git,4,1085,74, C++,92.2, false,2010-05-26,2022-05-15,FALSE
kde, kimagemapeditor,https://github.com/KDE/kimagemapeditor.git,4,488,38, C++,97.8, false,2003-12-25,2022-05-10,FALSE
kde, ktp-call-ui,https://github.com/KDE/ktp-call-ui.git,4,448,23, C++,86.6, false,2009-11-28,2022-03-12,FALSE
kde, zeroconf-ioslave,https://github.com/KDE/zeroconf-ioslave.git,4,378,23, C++,88.2, false,2004-12-31,2022-05-07,FALSE
kde, kspaceduel,https://github.com/KDE/kspaceduel.git,4,669,45, C++,91.1, false,1999-12-13,2022-05-07,FALSE
kde, klickety,https://github.com/KDE/klickety.git,4,671,32, C++,92.8, false,2002-12-25,2022-05-07,FALSE
kde, kblackbox,https://github.com/KDE/kblackbox.git,4,764,53, C++,97.2, false,1998-12-30,2022-05-07,FALSE
kde, libkdcraw,https://github.com/KDE/libkdcraw.git,4,1153,43, C++,83.4, false,2007-12-30,2022-04-12,FALSE
kde, klettres,https://github.com/KDE/klettres.git,4,959,48, C++,88, false,2001-12-26,2022-05-07,FALSE
kde, keditbookmarks,https://github.com/KDE/keditbookmarks.git,4,2763,104, C++,97.7, false,1997-12-20,2022-05-07,FALSE
kde, subtitlecomposer,https://github.com/KDE/subtitlecomposer.git,4,968,23, C++,89.8, false,2009-11-15,2022-05-01,FALSE
kde, kdevelop-pg-qt,https://github.com/KDE/kdevelop-pg-qt.git,4,676,21, C++,93.1, false,2005-12-14,2022-04-07,FALSE
kde, kwrited,https://github.com/KDE/kwrited.git,3,506,26, C++,54.1, false,2008-12-29,2022-05-19,FALSE
kde, akonadi-mime,https://github.com/KDE/akonadi-mime.git,3,1722,49, C++,94.3, false,1999-04-11,2022-05-19,FALSE
kde, kdegraphics-mobipocket,https://github.com/KDE/kdegraphics-mobipocket.git,3,272,14, C++,89.3, false,2008-12-31,2022-05-18,FALSE
kde, ktnef,https://github.com/KDE/ktnef.git,3,717,29, C++,87.9, false,2002-12-12,2022-05-16,FALSE
kde, akonadi-notes,https://github.com/KDE/akonadi-notes.git,3,1074,31, C++,81.3, false,1999-04-11,2022-05-16,FALSE
kde, audiocd-kio,https://github.com/KDE/audiocd-kio.git,3,1064,65, C++,88.2, false,2000-12-09,2022-05-15,FALSE
kde, kdev-valgrind,https://github.com/KDE/kdev-valgrind.git,3,1148,33, C++,98.2, false,2002-12-30,2022-05-15,FALSE
kde, kooka,https://github.com/KDE/kooka.git,3,1343,30, C++,94.6, false,2000-12-29,2022-05-15,FALSE
kde, kdav,https://github.com/KDE/kdav.git,3,1341,37, C++,95.8, false,2009-12-20,2022-05-14,FALSE
kde, kdegraphics-thumbnailers,https://github.com/KDE/kdegraphics-thumbnailers.git,3,266,18, C++,87.7, false,2009-12-22,2022-05-21,FALSE
kde, libkomparediff2,https://github.com/KDE/libkomparediff2.git,3,342,36, C++,97.2, false,2002-12-29,2022-03-13,FALSE
kde, kdf,https://github.com/KDE/kdf.git,3,852,45, C++,94.1, false,1999-12-30,2022-05-07,FALSE
kde, libkeduvocdocument,https://github.com/KDE/libkeduvocdocument.git,3,1810,55, C++,89.6, false,2001-10-11,2022-04-25,FALSE
kde, atlantik,https://github.com/KDE/atlantik.git,3,1423,31, C++,96.6, false,2001-12-24,2022-05-05,FALSE
kde, kolor-manager,https://github.com/KDE/kolor-manager.git,3,375,11, C++,85.6, false,2008-12-23,2022-04-10,FALSE
kde, kdev-executebrowser,https://github.com/KDE/kdev-executebrowser.git,3,136,7, C++,90.5, false,2010-11-28,2022-04-01,FALSE
kde, kio-gopher,https://github.com/KDE/kio-gopher.git,3,90,8, C++,87.5, false,2001-07-15,2021-10-07,FALSE
kde, kwebkitpart,https://github.com/KDE/kwebkitpart.git,3,1075,32, C++,95.4, false,2007-12-20,2021-06-15,FALSE
kde, kxmlrpcclient,https://github.com/KDE/kxmlrpcclient.git,2,479,37, C++,65.5, false,2006-11-28,2022-05-14,FALSE
kde, kuickshow,https://github.com/KDE/kuickshow.git,2,607,40, C++,96.9, false,2001-12-29,2022-05-20,FALSE
kde, kgamma5,https://github.com/KDE/kgamma5.git,2,475,42, C++,93.4, false,2003-11-09,2022-05-19,FALSE
kde, libkipi,https://github.com/KDE/libkipi.git,2,1278,45, C++,94.4, false,2004-12-22,2022-05-15,FALSE
kde, kross-interpreters,https://github.com/KDE/kross-interpreters.git,2,724,25, C++,88.2, false,2004-12-28,2021-11-29,FALSE
kde, poxml,https://github.com/KDE/poxml.git,2,281,17, C++,91.4, false,2001-12-17,2021-12-20,FALSE
kde, sweeper,https://github.com/KDE/sweeper.git,2,567,34, C++,84.9, false,2003-11-22,2022-05-07,FALSE
kde, svgpart,https://github.com/KDE/svgpart.git,2,217,12, C++,79.6, false,2007-12-30,2022-05-21,FALSE
kde, kdev-css,https://github.com/KDE/kdev-css.git,2,277,10, C++,78.5, false,2009-12-29,2022-05-21,FALSE
kde, kdev-upload,https://github.com/KDE/kdev-upload.git,2,236,15, C++,96.7, false,2008-12-31,2022-04-08,FALSE
kde, kdav2,https://github.com/KDE/kdav2.git,2,1069,30, C++,97, false,2009-12-20,2021-11-21,FALSE
kde, kde1-kdeutils,https://github.com/KDE/kde1-kdeutils.git,2,1728,3, C++,60.3, false,1997-12-31,2021-09-01,FALSE
kde, libkcddb,https://github.com/KDE/libkcddb.git,1,760,51, C++,94.2, false,2002-06-10,2022-05-05,FALSE
kde, kubuntu-notification-helper,https://github.com/KDE/kubuntu-notification-helper.git,1,407,7, C++,91.3, false,2009-11-29,2022-05-01,FALSE
kde, kwindowsaddons,https://github.com/KDE/kwindowsaddons.git,1,395,22, C++,95.7, false,2008-12-27,2022-05-01,FALSE
kde, keurocalc,https://github.com/KDE/keurocalc.git,1,368,15, C++,92.6, false,2001-12-17,2022-04-19,FALSE
kde, kdev-mercurial,https://github.com/KDE/kdev-mercurial.git,1,244,13, C++,96.4, false,2009-11-29,2022-04-08,FALSE
kde, libdebconf-kde,https://github.com/KDE/libdebconf-kde.git,1,93,10, C++,92.9, false,2010-12-27,2022-02-16,FALSE
kde, kalternatives,https://github.com/KDE/kalternatives.git,1,716,8, C++,94.9, false,2004-12-20,2021-12-06,FALSE
kde, kimap2,https://github.com/KDE/kimap2.git,1,826,38, C++,98, false,2007-12-28,2021-11-21,FALSE
kde, ksanecore,https://github.com/KDE/ksanecore.git,0,619,41, C++,95.5, false,2007-12-29,2022-05-02,FALSE
