project, date, revision, files, lambda, auto, range_for, const_expr, if_with_initializer, error1, error2, error3, time
kcalc, Thu Jan 07 15:46:10 BRT 2010, 8d4ea540cb871f8e3c8de25814d7e1effb3eae93, 24, 0, 0, 0, 0, 0, 0, 0, 0, 1330
kcalc, Tue Jan 12 20:58:28 BRT 2010, f5dbda868e1bca9b499da4416f0fca82cdfb793d, 24, 0, 0, 0, 0, 0, 0, 0, 0, 398
kcalc, Fri Feb 05 10:33:52 BRT 2010, 178d6ed97a3848faf2ca87702a8e5649b1f5846c, 24, 0, 0, 0, 0, 0, 0, 0, 0, 355
kcalc, Wed Apr 07 21:33:24 BRT 2010, 5a1d1a7a4fab0ef551b47d7bb17cfd7d55675b7e, 24, 0, 0, 0, 0, 0, 0, 0, 0, 343
kcalc, Wed May 05 16:48:53 BRT 2010, 723b083fb12b52fa3204eed2a3d03dc925dd6629, 24, 0, 0, 0, 0, 0, 0, 0, 0, 308
kcalc, Tue May 11 11:19:05 BRT 2010, ebadc3168c9e98bfde8e1802ba870110735a7e60, 24, 0, 0, 0, 0, 0, 0, 0, 0, 295
kcalc, Wed May 19 13:50:15 BRT 2010, e9697b9d0a30cafd3915c2707c2a477079460a4d, 24, 0, 0, 0, 0, 0, 0, 0, 0, 321
kcalc, Wed Jun 09 03:43:40 BRT 2010, de95f68c816ab770140b4eb0f7daeef6e9e8b720, 24, 0, 0, 0, 0, 0, 0, 0, 0, 254
kcalc, Tue Jun 15 18:56:46 BRT 2010, 3d950b88179d218a01b7cc21b8763a9c03bebff0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 255
kcalc, Sun Jun 27 17:23:36 BRT 2010, fc37e2ee824eba97c07c3e2c7ca6efdb4623c904, 24, 0, 0, 0, 0, 0, 0, 0, 0, 248
kcalc, Sun Jul 04 19:40:57 BRT 2010, 7ac19a03a9bb58023f778abed93d4e448a40afc7, 24, 0, 0, 0, 0, 0, 0, 0, 0, 279
kcalc, Tue Jul 13 15:50:09 BRT 2010, c782fdd45b0f3ea16cf0f3dc31f4656eea088bc7, 24, 0, 0, 0, 0, 0, 0, 0, 0, 299
kcalc, Fri Aug 20 11:06:48 BRT 2010, c9dcae37516e9b0cefa18745585982b8c9e474e2, 24, 0, 0, 0, 0, 0, 0, 0, 0, 286
kcalc, Wed Aug 25 14:17:29 BRT 2010, 70db4ca1f555dca418d92032ebff4b8105a08adb, 24, 0, 0, 0, 0, 0, 0, 0, 0, 253
kcalc, Fri Sep 03 00:23:28 BRT 2010, 63d344ca4f88951a57212d18236574813135e73d, 24, 0, 0, 0, 0, 0, 0, 0, 0, 213
