project,first_lambda,first_auto,first_range_for,date,avg_lambda,avg_auto,avg_range_for
powerdevil,2015-01-09,2014-07-29,2015-02-01,2008-12-29,,,
yakuake,2015-03-02,2020-04-02,2020-04-02,2008-12-29,,,
choqok,2017-04-22,2015-12-12,2015-12-12,2008-12-31,,,
zanshin,2014-03-21,2014-03-21,2014-03-21,2008-12-31,,,
smb4k,2020-04-20,2015-10-04,NA,2009-12-18,,,
kmymoney,2016-08-21,2016-07-30,2016-03-25,2009-12-27,,,
plasma-desktop,2014-04-01,2014-04-01,2014-07-24,2009-12-30,,,
dolphin-plugins,2020-03-09,2018-04-30,2018-12-11,2009-12-31,,,
prison,2017-11-26,2017-11-26,2019-10-01,2010-08-04,,,
massif-visualizer,2015-06-12,NA,2015-06-12,2010-12-26,,,
libqapt,2011-11-06,2011-06-12,NA,2010-12-28,,,
bluedevil,2015-03-19,2020-06-10,2019-10-02,2010-12-30,,,
kde-gtk-config,2019-04-02,2014-12-30,2018-02-20,2010-12-30,,,
discover,2012-07-27,2011-11-06,2011-11-06,2010-12-31,,,
knights,2019-10-09,2016-01-07,2017-09-15,2010-12-31,,,
kxstitch,2018-10-10,2016-01-13,2016-01-13,2010-12-31,,,
snorenotify,2014-10-14,2015-02-26,2015-02-26,2010-12-31,,,
