kpimtextedit,2020-11-01,c6fa90c5c0bf719439fd9e2d2678eb0e329ff624,165,28,189,0,23,0,0,0,0,0,0,0,0,9325,0,0,auto
akonadi,2016-12-17,46badf63d00f46cdb8ffcb2ff45791d4a6d63173,833,29,117,0,128,0,0,0,0,0,0,0,0,50581,0,0,ranged-for
knotes,2021-05-02,4d1e8e4d60e95b63286ac0103fed2e0310a3cd92,140,7,178,0,20,0,0,0,0,0,0,0,0,5396,0,0,auto
rkward,2022-03-09,8f902226d93b802833b81e16bb9e948943e6d61e,297,28,59,0,6,0,0,0,0,0,0,0,0,34288,0,0,auto
granatier,2018-05-15,8a03ba70008f7f2c73cdd3f3d03b9ed7e922a37e,61,0,26,0,52,6,0,0,0,0,0,0,0,4808,0,0,ranged-for
konsole,2019-11-23,c83bb19a68a65a59e149586d809c442168ba35aa,174,57,387,0,98,8,0,0,0,0,0,0,0,18347,0,0,ranged-for
okular,2019-03-26,f34ebf659f6cd93233cca345d873bd54c039b83a,473,19,55,0,52,0,0,0,0,0,0,0,0,49478,0,0,ranged-for
ktorrent,2017-07-06,2ad882b61101dfe8414e8f47f89360f4e2d96754,445,1,8,0,113,0,0,0,0,0,0,0,0,22654,0,0,ranged-for
partitionmanager,2016-08-31,e7ac5e5fa2800c9583ec1223abd1fce2a6e51a50,84,5,32,0,38,0,0,0,0,0,0,0,0,4064,0,0,ranged-for
akregator,2019-06-04,909be24a43a07feffdcdd97bcbdf6c4de6adac71,224,18,27,0,63,0,0,0,0,0,0,0,0,15649,0,0,ranged-for
plasma-framework,2020-04-13,52c0a136f9fff59db30210a788e9f904ea594fa4,240,67,118,0,113,0,0,0,0,0,0,0,0,15592,0,0,auto
okular,2019-01-05,a234a902dcfff249d8f1d41dfbc257496c81d84e,472,19,55,0,29,0,0,0,0,0,0,0,0,49417,0,0,auto
dolphin,2020-10-23,a24327cd50ef17b953ecb908d260b73460158107,263,53,128,0,161,0,0,0,0,0,0,0,0,25164,0,0,ranged-for
akregator,2020-11-02,7e6ff7d7b14c47db21b71518edbdec44367574bd,234,20,104,0,63,0,0,0,0,0,0,0,0,15694,0,0,auto
labplot,2017-12-03,5c28a3e5f994fbc586519fad3ec2aadff7357070,459,3,94,0,699,2,0,0,0,0,0,0,0,57303,0,0,ranged-for
kio,2019-04-14,414c3a9c8a46ce4e8ae40e384d6cf99ea46ac19d,595,98,150,0,149,0,0,0,0,0,0,0,0,67388,0,0,ranged-for
kphotoalbum,2020-04-10,233c3d7fc43217f6acf2a4e2db915bf5747cb50c,592,27,48,0,263,24,0,0,0,0,0,0,0,25135,0,0,auto
baloo-widgets,2022-06-01,93b3e120c96469a28b423ddf646e397d30e3a232,48,6,60,0,31,0,0,0,0,0,0,0,0,1709,0,0,auto
kdesvn,2019-08-09,30830d51ca01b9cc8492367c7e0c5bb2255e5543,287,4,31,0,87,0,0,0,0,0,0,0,0,18432,0,0,ranged-for
kid3,2018-09-29,f519ce07581980b95599227307eb46c8bc7f9abe,413,0,363,0,119,0,0,0,0,0,0,0,0,30868,0,0,auto
kimap,2021-01-20,c5278fe4c77329b64cef6eb097665d4b1e2e16a3,135,11,85,0,44,0,0,0,0,0,0,0,0,6373,0,0,ranged-for
krfb,2020-10-23,a109e3d6c9cf5e312567ec5d5d98534457ec14b9,52,4,35,0,5,0,0,0,0,0,0,0,0,1840,0,0,auto
okular,2019-01-11,614f580b79bed1cc19bb84960d8834a3d381fd18,472,19,55,0,29,0,0,0,0,0,0,0,0,49417,0,0,auto
akonadi-contacts,2020-11-02,d7bea9b44aece787d7faf42b419f6dffbd468ca1,262,33,167,0,52,0,0,0,0,0,0,0,0,7085,0,0,auto
akonadiconsole,2017-09-04,3ea2f16b97f8e101c8558884ebfcf3b9e82afe8e,66,3,45,0,18,0,0,0,0,0,0,0,0,3730,0,0,auto
kdepim-runtime,2016-12-28,d10456bd725e2e724c778a58a779d850f1b69420,599,2,28,0,81,0,0,0,0,0,0,0,0,39321,0,0,ranged-for
okteta,2019-02-22,c4c70a1e758b3fb319c0e41d3dd6ce787bf6194a,1378,43,338,0,150,190,0,0,0,0,0,0,0,38736,0,0,auto
kdevelop,2016-07-12,11ea818228cb23bc9ab8360eea4f45b726a234f2,1414,126,462,0,27,0,0,0,0,0,0,0,0,72759,0,0,lambda
marble,2017-01-27,33eff9bc4ea9581dc3d84783f62747463f2c047e,2102,12,287,0,609,0,0,0,0,0,0,0,0,105737,1,0,ranged-for
amarok,2018-02-21,3a25034e5006d2692719dafca4969484970580ef,1935,17,93,0,35,0,0,0,0,0,0,0,0,106737,0,0,auto
